Indice,Comune,Popolazione,Coordinate
1,PADOVA,213696,"(429, 381)"
2,ALBIGNASEGO,26562,"(411, 301)"
3,SELVAZZANO DENTRO,23502,"(330, 367)"
4,VIGONZA,23462,"(502, 424)"
5,ABANO TERME,20455,"(337, 321)"
6,CITTADELLA,20333,"(324, 682)"
7,PIOVE DI SACCO,20265,"(544, 255)"
8,MONSELICE,17482,"(305, 182)"
9,RUBANO,16747,"(334, 407)"
10,CADONEGHE,16460,"(458, 427)"
11,ESTE,16367,"(221, 172)"
12,CAMPODARSEGO,15025,"(438, 491)"
13,PONTE SAN NICOLO`,13663,"(460, 348)"
14,VIGODARZERE,13288,"(419, 443)"
15,SAN MARTINO DI LUPARI,13208,"(396, 682)"
