AGUGLIARO,2,2,8,4,4,3,3,4,5,3,3,4,45,8,0.011
ALBETTONE,9,4,8,5,5,8,5,5,7,11,9,9,85,11,0.015
ALONTE,13,12,7,14,8,9,1,6,1,4,8,10,93,14,0.019
ALTAVILLA VICENTINA,32,28,32,25,47,49,40,27,36,38,31,33,418,49,0.068
ALTISSIMO,8,7,6,6,7,5,5,8,12,3,6,7,80,12,0.017
ARCUGNANO,20,24,21,17,34,29,23,23,22,18,20,28,279,34,0.047
ARZIGNANO,127,114,109,102,102,108,111,106,110,115,100,99,1303,127,0.176
ASIGLIANO VENETO,2,1,1,10,1,3,3,,2,1,4,,28,10,0.014
BARBARANO VICENTINO,26,15,19,20,,,,,,,,,,26,0.036
BOLZANO VICENTINO,11,13,13,17,23,15,18,18,16,23,22,18,207,23,0.032
BRENDOLA,21,33,20,28,19,36,29,30,30,27,38,38,349,38,0.053
BRESSANVIDO,7,7,5,3,14,8,7,7,4,5,8,4,79,14,0.019
BROGLIANO,18,12,17,23,34,18,25,14,11,29,21,16,238,34,0.047
CALDOGNO,35,21,41,28,40,43,40,29,26,44,28,32,407,44,0.061
CAMISANO VICENTINO,22,18,23,30,43,33,38,31,28,28,36,27,357,43,0.060
CAMPIGLIA DEI BERICI,7,10,4,2,11,4,7,6,10,6,6,8,81,11,0.015
CASTEGNERO,10,8,6,6,7,7,8,11,7,8,16,5,99,16,0.022
CASTELGOMBERTO,30,30,32,38,24,27,27,37,24,31,25,29,354,38,0.053
CHIAMPO,56,53,43,44,51,48,46,52,52,43,61,34,583,61,0.085
CORNEDO VICENTINO,72,67,73,60,58,72,80,55,76,81,60,73,827,81,0.113
COSTABISSARA,25,17,17,22,13,20,13,12,19,15,24,15,212,25,0.035
CREAZZO,37,45,35,32,43,35,50,41,41,35,39,43,476,50,0.069
CRESPADORO,3,5,3,7,6,3,6,4,5,3,3,3,51,7,0.010
DUEVILLE,48,38,46,28,61,46,48,45,44,52,49,49,554,61,0.085
GAMBELLARA,21,13,21,22,15,12,17,20,20,16,15,12,204,22,0.031
GAMBUGLIANO,1,5,7,1,3,3,5,5,7,2,4,7,50,7,0.010
GRISIGNANO DI ZOCCO,12,17,15,10,15,22,14,19,15,15,12,16,182,22,0.031
GRUMOLO DELLE ABBADESSE,10,5,12,8,9,11,16,16,15,7,16,13,138,16,0.022
ISOLA VICENTINA,27,31,26,37,33,32,42,36,29,31,24,38,386,42,0.058
LONGARE,26,18,14,15,26,24,22,23,16,25,28,18,255,28,0.039
LONIGO,109,76,107,110,101,82,90,103,103,114,80,101,1176,114,0.158
MONTEBELLO VICENTINO,28,28,25,23,29,25,34,28,34,35,23,27,339,35,0.049
MONTECCHIO MAGGIORE,109,96,101,106,102,109,102,89,113,114,116,114,1271,116,0.161
MONTEGALDA,13,6,11,10,13,18,12,21,10,11,4,16,145,21,0.029
MONTEGALDELLA,5,10,2,3,2,6,1,4,3,2,,7,45,10,0.014
MONTEVIALE,12,4,9,5,6,6,11,9,6,8,8,8,92,12,0.017
MONTICELLO CONTE OTTO,25,29,19,30,31,19,33,24,24,40,34,34,342,40,0.056
MONTORSO VICENTINO,14,9,3,13,7,13,10,8,8,13,12,6,116,14,0.019
MOSSANO,15,6,13,4,,,,,,,,,,15,0.021
NANTO,10,13,10,9,7,8,11,5,5,12,3,13,106,13,0.018
NOGAROLE VICENTINO,3,,1,3,4,8,8,5,2,2,3,3,42,8,0.011
NOVENTA VICENTINA,46,28,46,25,39,42,43,38,44,39,30,42,462,46,0.064
ORGIANO,22,15,13,8,8,9,15,14,19,16,16,14,169,22,0.031
POJANA MAGGIORE,21,18,22,17,25,21,25,28,20,16,21,25,259,28,0.039
POZZOLEONE,12,1,5,3,3,10,5,6,7,9,3,3,67,12,0.017
QUINTO VICENTINO,22,15,18,8,21,19,16,4,19,16,17,14,189,22,0.031
RECOARO TERME,52,42,51,58,53,53,47,45,43,48,45,44,581,58,0.081
SAN PIETRO MUSSOLINO,3,3,7,4,4,6,2,2,5,2,5,8,51,8,0.011
SANDRIGO,28,22,18,35,34,20,29,24,21,27,31,38,327,38,0.053
SAREGO,55,39,34,40,39,37,32,36,34,50,27,31,454,55,0.076
SOSSANO,32,30,20,16,22,18,24,21,30,23,24,34,294,34,0.047
SOVIZZO,19,16,18,14,25,19,28,22,13,19,14,27,234,28,0.039
TORRI DI QUARTESOLO,38,44,31,39,36,31,38,44,45,42,45,44,477,45,0.063
TRISSINO,46,41,36,46,28,44,37,39,34,54,40,37,482,54,0.075
VAL LIONA,14,10,21,7,12,4,7,7,9,12,4,13,120,21,0.029
VALDAGNO,267,152,212,231,211,210,196,187,186,218,191,200,2461,267,0.371
VICENZA,568,458,494,405,530,522,532,525,515,573,510,553,6185,573,0.796
VILLAGA,6,6,6,5,3,5,6,4,7,8,8,7,71,8,0.011
ZERMEGHEDO,9,5,4,5,1,7,4,4,5,6,8,3,61,9,0.013
ZOVENCEDO,6,,,1,5,3,3,3,1,3,3,2,30,6,0.008
OTHER SOURCES,171,150,175,189,234,253,248,252,260,228,201,216,2577,353,0.490
TOTAL,2518,2045,2216,2136,2391,2360,2398,2291,2315,2479,2242,2372,27645,3059,4.249
